description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
cm594	1	1		100	16	361	650		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		30	35																																																																					0
cm595	1	1		100	16	361	680		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		30	35																																																																					0
cm596	1	1		100	16	361	710		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		30	35																																																																					0
cm597	1	1		100	16	361	740		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		15	25																																																																					0
cm598																	void																																																																																							0
cm599	1	1		100	16	361	760		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		32	48																																																																					0
cm600	1	1		100	16	361	780		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		57	57	pr270	100		1001	1001	pr66	100		3	5																																																																					0
cm601	1	1		100	16	361	800		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		58	58	pr270	100		1001	1001	pr65	100		3	5																																																																					0
cm602	1	1		100	16	361	820		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		43	43	pr270	100		1001	1001	pr14	100		4	6																																																																					0
cm603	1	1		100	16	361	840		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		45	45	pr270	100		1001	1001	pr115	100		1	1																																																																					0
cm604	1	1		100	16	361	860		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		8	8	pr270	100		1001	1001	pr253	100		3	4																																																																					0
cm605	1	1		100	16	361	880		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		9	9	pr270	100		1001	1001	pr110	100		3	4																																																																					0
cm606	1	1		100	16	361	900		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		59	59	pr270	100		1001	1001	pr15	100		150	250	pr73	100		2	4																																																																0
cm607																	void																																																																																							0
cm608	1	1		100	16	361	912		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
cm609	1	1		100	16	361	925		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		50	50	pr270	100		1001	1001	pr104	100		1	1																																																																					0
cm610	1	1		100	16	361	937		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		51	51	pr270	100		1001	1001	pr41	100		15	20																																																																					0
cm611	1	1		100	16	361	950		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		52	52	pr270	100		1001	1001	pr4	100		4	6																																																																					0
cm612	1	1		100	16	361	962		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		53	53	pr270	100		1001	1001	pr32	100		3	5	pr31	100		10	15																																																																0
cm613	1	1		100	16	361	975		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		54	54	pr270	100		1001	1001	pr36	100		3	5	pr35	100		10	15																																																																0
cm614	1	1		100	16	361	987		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		55	55	pr270	100		1001	1001	pr34	100		3	5	pr33	100		10	15																																																																0
cm615	1	1		100	16	361	1000		2	"helm,nos"	"wss,qty=1"						useitem			100	pr269	100		56	56	pr270	100		1001	1001	pr40	100		3	5	pr39	100		10	15																																																																0
cm616																	void																																																																																							0
cm617																	void																																																																																							0
cm618	1	1		100	16	361	295		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		33	33	pr270	100		1001	1001	pr5	100		50	80																																																																					0
cm619	1	1		100	16	361	340		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		7	7	pr270	100		1001	1001	pr59	100		10	25																																																																					0
cm620	1	1		100	16	361	385		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		60	60	pr270	100		1001	1001	pr58	100		50	100																																																																					0
cm621	1	1		100	16	361	430		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		36	36	pr270	100		1001	1001	pr31	100		15	20																																																																					0
cm622	1	1		100	16	361	475		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		37	37	pr270	100		1001	1001	pr35	100		15	20																																																																					0
cm623	1	1		100	16	361	520		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		38	38	pr270	100		1001	1001	pr33	100		15	20																																																																					0
cm624	1	1		100	16	361	565		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		39	39	pr270	100		1001	1001	pr39	100		15	20																																																																					0
cm625	1	1		100	16	361	610		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		40	40	pr270	100		1001	1001	pr62	100		10	15																																																																					0
cm626																	void																																																																																							0
cm627	1	1		100	16	361	640		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		41	41	pr270	100		1001	1001	pr165	100		24	40																																																																					0
cm628	1	1		100	16	361	670		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		61	61	pr270	100		1001	1001	pr13	100		20	40																																																																					0
cm629	1	1		100	16	361	700		2	"boot,nos"	"wss,qty=1"						useitem			100	pr269	100		49	49	pr270	100		1001	1001	pr242	100		1	1	pr5	100		50	80																																																																0
